년도,범죄번호,범죄중분류,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,기타도시,도시이외
2018,강력범죄,살인기수,45,26,9,23,10,4,9,2,65,12,10,9,11,7,10,17,8,0,32
2018,강력범죄,살인미수등,97,27,21,21,8,11,2,3,125,2,16,17,19,14,22,37,8,2,36
2018,강력범죄,강도,139,86,44,37,27,51,26,5,165,11,21,35,24,19,33,49,10,4,35
2018,강력범죄,강간,1159,323,246,362,197,175,108,25,1097,116,122,197,152,136,198,214,103,10,353
2018,강력범죄,유사강간,180,46,29,44,24,20,11,4,155,22,17,31,27,21,29,43,18,1,54
2018,강력범죄,강제추행,5002,1083,693,1160,481,532,301,61,3647,352,368,440,394,314,472,635,257,24,837
2018,강력범죄,기타강간강제추행등,59,13,19,19,18,9,8,2,66,7,8,13,11,18,24,20,7,1,34
2018,강력범죄,방화,293,108,69,77,27,46,31,4,346,31,40,72,43,26,47,288,21,0,122
2019,강력범죄,살인기수,45,22,14,20,11,7,10,2,62,5,5,10,18,4,13,16,8,1,24
2019,강력범죄,살인미수등,89,42,27,28,5,11,9,1,103,8,17,24,15,9,13,25,12,2,42
2019,강력범죄,강도,133,81,31,60,27,25,27,0,177,23,28,30,22,16,24,34,21,5,34
2019,강력범죄,강간,1254,297,215,327,185,173,106,12,1103,131,108,192,155,127,234,232,99,15,345
2019,강력범죄,유사강간,171,48,39,46,24,30,22,1,174,24,19,18,15,15,31,39,7,2,57
2019,강력범죄,강제추행,4981,1111,696,1181,453,492,308,49,3675,351,348,439,453,321,497,645,290,23,807
2019,강력범죄,기타강간강제추행등,52,15,11,14,6,16,15,1,66,2,11,17,10,10,21,22,9,2,25
2019,강력범죄,방화,252,100,62,73,42,48,19,2,290,28,41,59,41,34,63,50,30,0,128
2020,강력범죄,살인기수,50,21,15,12,7,9,6,4,74,12,4,6,12,10,10,23,8,4,21
2020,강력범죄,살인미수등,88,30,13,25,3,9,6,4,81,8,7,22,14,6,14,35,6,1,44
2020,강력범죄,강도,141,38,33,45,24,14,14,2,154,19,15,36,16,12,15,37,14,1,33
2020,강력범죄,강간,1279,306,213,338,158,180,103,27,1159,110,135,185,132,112,209,253,95,21,298
2020,강력범죄,유사강간,197,63,28,45,19,25,18,2,184,14,14,24,25,22,33,38,18,1,53
2020,강력범죄,강제추행,4211,1038,552,979,390,449,320,48,3413,307,328,433,385,300,469,629,279,14,800
2020,강력범죄,기타강간강제추행등,58,10,11,14,12,8,4,2,35,7,8,10,6,5,8,11,5,1,22
2020,강력범죄,방화,222,87,52,66,16,38,31,2,276,26,31,42,40,33,63,66,25,0,112
2021,강력범죄,살인기수,47,15,11,21,5,11,8,1,47,6,7,7,13,8,11,15,6,2,29
2021,강력범죄,살인미수등,76,30,13,21,4,8,7,3,102,7,4,18,9,9,13,21,12,1,30
2021,강력범죄,강도,122,51,23,34,13,9,10,1,87,10,10,18,15,4,17,29,12,1,29
2021,강력범죄,강간,1134,321,220,345,148,164,120,22,1202,108,135,191,125,153,240,212,112,13,298
2021,강력범죄,유사강간,180,55,33,56,24,27,18,4,170,22,13,22,20,23,36,44,19,0,48
2021,강력범죄,강제추행,3553,936,560,893,367,447,285,50,3094,274,248,422,365,292,499,603,272,21,781
2021,강력범죄,기타강간강제추행등,39,19,11,12,4,9,5,1,44,6,3,7,12,5,10,19,2,1,29
2021,강력범죄,방화,186,54,54,57,22,39,27,2,241,20,23,44,29,20,31,64,16,0,117
2022,강력범죄,살인기수,35,29,16,14,1,6,8,2,65,10,5,13,12,9,10,13,4,4,19
2022,강력범죄,살인미수등,68,24,15,38,2,11,7,3,97,7,12,28,16,7,13,27,8,1,43
2022,강력범죄,강도,118,43,31,30,10,17,10,2,107,14,21,22,10,10,11,26,5,1,28
2022,강력범죄,강간,1200,347,215,340,152,200,112,26,1148,131,149,214,151,117,213,264,95,18,375
2022,강력범죄,유사강간,219,83,43,61,32,34,14,6,189,28,15,31,18,25,38,35,21,3,52
2022,강력범죄,강제추행,4358,1064,648,1030,391,500,311,73,3467,307,354,483,362,274,433,658,285,18,848
2022,강력범죄,기타강간강제추행등,35,14,9,16,8,2,10,1,51,8,8,7,4,5,9,11,3,1,23
2022,강력범죄,방화,217,89,50,70,35,40,28,8,272,25,29,37,39,23,60,68,29,0,114
